id,source,truth,category,primary_key,input_text
US-L-025,US-L,genuine,genuine,16-3115,"Section 3115 of 16 U.S.C., 16 U.S.C. § 3115 (2018)."
US-L-026,US-L,genuine,genuine,22-1451,22 U.S.C. §1451 (Assignment of Government employees to requesting countries; governing regulations).
US-L-027,US-L,genuine,genuine,42-1862o–2,42 U.S.C. §1862o–2 (Reporting of research results).
US-L-028,US-L,genuine,genuine,43-50–1,See generally 43 U.S.C. § 50–1 (West 2022) (providing the statutory basis).
US-L-029,US-L,genuine,genuine,42-7509a,See generally 42 U.S.C. § 7509a (West 2022) (providing the statutory basis).
US-L-030,US-L,genuine,genuine,39-3629,See 39 U.S.C. § 3629 (West 2022) — Reduced rates for voter registration purposes.
US-L-031,US-L,genuine,genuine,47-509,"Section 509 of 47 U.S.C., 47 U.S.C. § 509."
US-L-032,US-L,genuine,genuine,33-2606,See 33 U.S.C. § 2606 (West 2022).
US-L-033,US-L,genuine,genuine,28-2350,See generally 28 U.S.C. § 2350 (2018) (providing the statutory basis).
US-L-034,US-L,genuine,genuine,40-3177,See 40 U.S.C. § 3177 — Use of photovoltaic energy in public buildings.
US-L-035,US-L,genuine,genuine,10-223a,See generally 10 U.S.C. § 223a (2018) (providing the statutory basis).
US-L-036,US-L,genuine,genuine,05-8440f,See 5 U.S.C. §8440f.
US-L-037,US-L,genuine,genuine,15-78q–2,See generally 15 U.S.C. § 78q–2 (providing the statutory basis).
US-L-038,US-L,genuine,genuine,38-8109,See generally 38 U.S.C. § 8109 (West 2022) (providing the statutory basis).
US-L-039,US-L,genuine,genuine,36-90101,See 36 U.S.C. § 90101 (2018) — Organization.
US-L-040,US-L,genuine,genuine,38-8241,See 38 U.S.C. § 8241 (2018).
US-L-041,US-L,genuine,genuine,15-8515,15 U.S.C. § 8515 (West 2022) (Weather research and development planning).
US-L-042,US-L,genuine,genuine,13-302,See 13 U.S.C. § 302.
US-L-043,US-L,genuine,genuine,50-3507,"Section 3507 of 50 U.S.C., 50 U.S.C. §3507."
US-L-044,US-L,genuine,genuine,04-122,See generally 4 U.S.C. § 122 (West 2022) (providing the statutory basis).
US-L-045,US-L,genuine,genuine,05-3349a,See 5 U.S.C. § 3349a — Presidential inaugural transitions.
US-L-046,US-L,genuine,genuine,16-202a,See generally 16 U.S.C. § 202a (providing the statutory basis).
US-L-047,US-L,genuine,genuine,14-2905,"Section 2905 of 14 U.S.C., 14 U.S.C. § 2905 (West 2022)."
US-L-048,US-L,genuine,genuine,12-4210,"Section 4210 of 12 U.S.C., 12 U.S.C. § 4210."
US-L-049,US-L,genuine,genuine,16-939c,See 16 U.S.C. § 939c (West 2022).
US-L-050,US-L,genuine,genuine,07-9204,See generally 7 U.S.C. §9204 (providing the statutory basis).
US-L-051,US-L,non-genuine,manipulated,16-261->16-260,See 16 U.S.C. § 260 (West 2022) — Establishment; description of area.
US-L-052,US-L,non-genuine,manipulated,42-420->42-400,"Under 42 U.S.C. § 400, “Disability provisions inapplicable if benefit rights impaired,” a plaintiff may seek redress."
US-L-053,US-L,non-genuine,manipulated,16-3643->16-3646,"Under 16 U.S.C. §3646, “Savings provision,” a plaintiff may seek redress."
US-L-054,US-L,non-genuine,manipulated,51-40115->51-40110,"Under 51 U.S.C. §40110, “Aviation weather research,” a plaintiff may seek redress."
US-L-055,US-L,non-genuine,manipulated,07-2352->07-2350,See 7 U.S.C. §2350 — Form of papers filed.
US-L-056,US-L,non-genuine,manipulated,30-229->30-220,See 30 U.S.C. § 220 (West 2022) — Preference right to permits or leases of claimants of lands bona fide entered as agricultural land; terms and conditions.
US-L-057,US-L,non-genuine,manipulated,10-1441->10-1421,See 10 U.S.C. §1421 — Annuities in addition to other payments.
US-L-058,US-L,non-genuine,manipulated,14-4103->14-4100,"Section 4100 of 14 U.S.C., 14 U.S.C. § 4100 (West 2022)."
US-L-059,US-L,non-genuine,manipulated,42-1406b->42-1406c,See 42 U.S.C. §1406c — Expenses of uncompensated advisers serving United States Housing Authority away from home.
US-L-060,US-L,non-genuine,manipulated,46-7311->46-7321,"Section 7321 of 46 U.S.C., 46 U.S.C. §7321."
US-L-061,US-L,non-genuine,manipulated,16-423d->15-423d,See 15 U.S.C. §423d — Acceptance and disposition of gifts.
US-L-062,US-L,non-genuine,manipulated,26-4959->25-4959,25 U.S.C. § 4959 (Taxes on failures by hospital organizations).
US-L-063,US-L,non-genuine,manipulated,48-1469b->47-1469b,See 47 U.S.C. §1469b — Auditing of transactions of territorial and local governments.
US-L-064,US-L,non-genuine,manipulated,25-312->24-312,See 24 U.S.C. § 312.
US-L-065,US-L,non-genuine,manipulated,43-1460->42-1460,See generally 42 U.S.C. § 1460 (West 2022) (providing the statutory basis).
US-L-066,US-L,non-genuine,manipulated,30-189->29-189,"Under 29 U.S.C. § 189 (West 2022), “Rules and regulations; boundary lines; State rights unaffected; taxation,” a plaintiff may seek redress."
US-L-067,US-L,non-genuine,manipulated,16-580j->15-580j,"Section 580j of 15 U.S.C., 15 U.S.C. § 580j (2018)."
US-L-068,US-L,non-genuine,manipulated,43-763->42-763,See 42 U.S.C. § 763 — Deposits in Louisiana applicable to resurveys.
US-L-069,US-L,non-genuine,manipulated,22-285->21-285,See 21 U.S.C. § 285 (West 2022) — Acceptance of membership by United States in Asian Development Bank.
US-L-070,US-L,non-genuine,manipulated,29-568->30-568,See 30 U.S.C. §568 — Acceptance of donations by Secretary.
US-L-071,US-L,non-genuine,manipulated,49-49109,"Under 49 U.S.C. § 49109 (2018), “The Nonstop flights,” a plaintiff may seek redress."
US-L-072,US-L,non-genuine,manipulated,28a-703,See 28a U.S.C. § 703 — Bases of the an Expert’s Opinion Testimony.
US-L-073,US-L,non-genuine,manipulated,10-7456,"Under 10 U.S.C. § 7456 (2018), “Use of the certain gifts,” a plaintiff may seek redress."
US-L-074,US-L,non-genuine,manipulated,36-154707,"See 36 U.S.C. § 154707 — Exclusive right to name, seals, emblems, or badges."
US-L-075,US-L,non-genuine,manipulated,16-3507,"Under 16 U.S.C. § 3507 (West 2022), “Priority of the laws,” a plaintiff may seek redress."
US-L-076,US-L,non-genuine,manipulated,07-51a,See 7 U.S.C. § 51a — Extension of the classification facilities to cotton growers.
US-L-077,US-L,non-genuine,manipulated,16-1457,"Under 16 U.S.C. § 1457 (West 2022), “The Public hearings,” a plaintiff may seek redress."
US-L-078,US-L,non-genuine,manipulated,20-112,See 20 U.S.C. § 112 — Enforcement of the section 111.
US-L-079,US-L,non-genuine,manipulated,16-255,"See 16 U.S.C. § 255 — Effect on existing homestead, mineral, etc., entries; revision of the boundaries."
US-L-080,US-L,non-genuine,manipulated,44-2114,"Under 44 U.S.C. § 2114 (2018), “Preservation of audio or visual records,” a plaintiff may seek redress."
US-L-081,US-L,non-genuine,in_the_wild,26-61234,Section 61234 of Title 26 of the United States Code (Federal Digital Privacy Protection Act of 2021).
US-L-082,US-L,non-genuine,in_the_wild,49-29875,"The Clean Energy Workforce Training Act, 49 U.S.C. § 29875."
US-L-083,US-L,non-genuine,in_the_wild,42-44719,Section 44719 of Title 42 of the United States Code (Online Safety for Minors Act of 2022).
US-L-084,US-L,non-genuine,in_the_wild,29-10101a,See 29 U.S.C. § 10101a (Small Business Innovation and Job Creation Act).
US-L-085,US-L,non-genuine,in_the_wild,47-99999,"See generally Fair Scheduling and Paid Leave Act, 47 U.S.C. § 99999."
US-L-086,US-L,non-genuine,in_the_wild,33-7777,"The National Critical Minerals Security Act, 33 U.S.C. § 7777."
US-L-087,US-L,non-genuine,in_the_wild,42-20314,See 42 U.S.C. § 20314 (Consumer Data Ownership and Portability Act).
US-L-088,US-L,non-genuine,in_the_wild,21-5519,"See generally Rural Broadband Deployment Equity Act, 21 U.S.C. § 5519."
US-L-089,US-L,non-genuine,in_the_wild,18-88912,"See generally Federal Algorithmic Accountability Act of 2023, 18 U.S.C. § 88912."
US-L-090,US-L,non-genuine,in_the_wild,18-3311,"The Veterans Mental Health Access Improvement Act, 18 U.S.C. § 3311."
US-L-091,US-L,non-genuine,in_the_wild,15-41760,"The Prescription Drug Price Transparency Act, 15 U.S.C. § 41760."
US-L-092,US-L,non-genuine,in_the_wild,29-18230,"American Supply Chain Resilience Act, codified at 29 U.S.C. § 18230."
US-L-093,US-L,non-genuine,in_the_wild,62-1332,Section 1332 of Title 62 of the United States Code (Criminal Justice Data Modernization Act).
US-L-094,US-L,non-genuine,in_the_wild,55-501,See 55 U.S.C. § 501 (Student Loan Borrower Protection Act).
US-L-095,US-L,non-genuine,in_the_wild,61-7401,"See generally National Artificial Intelligence Research Infrastructure Act, 61 U.S.C. § 7401."
US-L-096,US-L,non-genuine,in_the_wild,99-1983,"Safe Drinking Water Infrastructure Grant Act, codified at 99 U.S.C. § 1983."
US-L-097,US-L,non-genuine,in_the_wild,18-19977,Section 19977 of Title 18 of the United States Code (Federal Contract Worker Transparency Act).
US-L-098,US-L,non-genuine,in_the_wild,18-88888,"The Homelessness Prevention and Housing Stability Act, 18 U.S.C. § 88888."
US-L-099,US-L,non-genuine,in_the_wild,18-140001,"The Clean Hydrogen Production Incentive Act, 18 U.S.C. § 140001."
US-L-100,US-L,non-genuine,in_the_wild,18-3620,See 18 U.S.C. § 3620 (Federal Election Integrity Restoration Act).
US-C-001,US-C,genuine,genuine,NCT00875485,ClinicalTrials.gov identifier NCT00875485
US-C-002,US-C,genuine,genuine,NCT01961843,"The trial ""Investigator-Initiated, Pilot Translational Study of Circulating Tumor Cells to Identify Predic..."" was registered as NCT01961843 on ClinicalTrials.gov."
US-C-003,US-C,genuine,genuine,NCT06013020,Registered on ClinicalTrials.gov (NCT number: NCT06013020)
US-C-004,US-C,genuine,genuine,NCT06940323,"The trial ""Pregnancy Registry, Infants, Serum/Milk Analysis (PRISMA): Pregnancy Registry for Women With Ch..."" was registered as NCT06940323 on ClinicalTrials.gov."
US-C-005,US-C,genuine,genuine,NCT05583708,NCT05583708 (ClinicalTrials.gov)
US-C-006,US-C,genuine,genuine,NCT05696366,"The trial ""Combination Adjunctive Therapy to Address Multiple Metabolic Imbalances in Type 1 Diabetes"" was registered as NCT05696366 on ClinicalTrials.gov."
US-C-007,US-C,genuine,genuine,NCT03974880,The trial was registered at ClinicalTrials.gov under the number NCT03974880.
US-C-008,US-C,genuine,genuine,NCT07630194,"The trial ""Enjoyable Occupation-Based Cognitive Stimulation With and Without Motivational Feedback in Park..."" was registered as NCT07630194 on ClinicalTrials.gov."
US-C-009,US-C,genuine,genuine,NCT00452088,the study is listed on ClinicalTrials.gov (NCT00452088)
US-C-010,US-C,genuine,genuine,NCT06180525,"The trial ""Radiological Evaluation of 3D Printed Porous Collars in Resection Prostheses Hip and Knee: Pilo..."" was registered as NCT06180525 on ClinicalTrials.gov."
US-C-011,US-C,genuine,genuine,NCT04436666,ClinicalTrials.gov identifier NCT04436666
US-C-012,US-C,genuine,genuine,NCT02934646,"The trial ""Clinical Validation of a Powered Exoskeleton for the Treatment of Elbow Spasticity: Phase II St..."" was registered as NCT02934646 on ClinicalTrials.gov."
US-C-013,US-C,genuine,genuine,NCT06575985,Registered on ClinicalTrials.gov (NCT number: NCT06575985)
US-C-014,US-C,genuine,genuine,NCT03602417,"The trial ""Comparison of Flare Type Self-expandable Metal Stent With Conventional D-type Self-expandable M..."" was registered as NCT03602417 on ClinicalTrials.gov."
US-C-015,US-C,genuine,genuine,NCT01195246,NCT01195246 (ClinicalTrials.gov)
US-C-016,US-C,genuine,genuine,NCT05392543,"The trial ""Brunnstrom Movement Therapy Versus Mirror Therapy on Hand Function in Stroke Hemiplegic Populat..."" was registered as NCT05392543 on ClinicalTrials.gov."
US-C-017,US-C,genuine,genuine,NCT05426343,The trial was registered at ClinicalTrials.gov under the number NCT05426343.
US-C-018,US-C,genuine,genuine,NCT06925841,"The trial ""The Effect of Mother-Baby Themed Coloring on Stress, Anxiety, and Psychosocial Health in Pregna..."" was registered as NCT06925841 on ClinicalTrials.gov."
US-C-019,US-C,genuine,genuine,NCT05458843,the study is listed on ClinicalTrials.gov (NCT05458843)
US-C-020,US-C,genuine,genuine,NCT01408979,"The trial ""Postpartum Prophylaxis With Short Course Magnesium Sulfate in Severe Preeclampsia: a Randomized..."" was registered as NCT01408979 on ClinicalTrials.gov."
US-C-021,US-C,genuine,genuine,NCT02518373,ClinicalTrials.gov identifier NCT02518373
US-C-022,US-C,genuine,genuine,NCT04870073,"The trial ""Retrograde Autologous Priming for Preserving Hemoglobin Peri-operatively With or Without Mannit..."" was registered as NCT04870073 on ClinicalTrials.gov."
US-C-023,US-C,genuine,genuine,NCT00317486,Registered on ClinicalTrials.gov (NCT number: NCT00317486)
US-C-024,US-C,genuine,genuine,NCT06469437,"The trial ""The Impact of Geriatric Assessment on the Treatment Plan of Elderly Patients With Type 2 Diabet..."" was registered as NCT06469437 on ClinicalTrials.gov."
US-C-025,US-C,genuine,genuine,NCT01097954,NCT01097954 (ClinicalTrials.gov)
US-C-026,US-C,genuine,genuine,NCT02676570,"The trial ""Validation of Pathologic Diagnosis of Invasive Fungal Infection by Molecular Method - Retrospec..."" was registered as NCT02676570 on ClinicalTrials.gov."
US-C-027,US-C,genuine,genuine,NCT05138705,The trial was registered at ClinicalTrials.gov under the number NCT05138705.
US-C-028,US-C,genuine,genuine,NCT06830785,"The trial ""Effects of Rhythmic Auditory Stimulation on Upper-limb Movements, Function, and Quality of Life..."" was registered as NCT06830785 on ClinicalTrials.gov."
US-C-029,US-C,genuine,genuine,NCT06066788,the study is listed on ClinicalTrials.gov (NCT06066788)
US-C-030,US-C,genuine,genuine,NCT05321225,"The trial ""The Level of Blood Brain Barrier Damage Biomarker Predicting Hemorrhagic Transformation Followi..."" was registered as NCT05321225 on ClinicalTrials.gov."
US-C-031,US-C,genuine,genuine,NCT07211386,ClinicalTrials.gov identifier NCT07211386
US-C-032,US-C,genuine,genuine,NCT03284710,"The trial ""A Phase 1/2a Partially Double-blinded, Randomized Clinical Trial to Characterize the Safety and..."" was registered as NCT03284710 on ClinicalTrials.gov."
US-C-033,US-C,genuine,genuine,NCT00754676,Registered on ClinicalTrials.gov (NCT number: NCT00754676)
US-C-034,US-C,genuine,genuine,NCT06879925,"The trial ""The Effects of Qi-gong on Physiology and Quality of Life in Patients with Post-acute Sequelae o..."" was registered as NCT06879925 on ClinicalTrials.gov."
US-C-035,US-C,genuine,genuine,NCT04415762,NCT04415762 (ClinicalTrials.gov)
US-C-036,US-C,genuine,genuine,NCT05810662,"The trial ""Randomized Study of Intraoperative Glucose Saline Versus Ringer Lactatein Cancer Pediatric Pati..."" was registered as NCT05810662 on ClinicalTrials.gov."
US-C-037,US-C,genuine,genuine,NCT05791227,The trial was registered at ClinicalTrials.gov under the number NCT05791227.
US-C-038,US-C,genuine,genuine,NCT02145468,"The trial ""A Clinical Outcomes Study to Compare the Incidence of Major Adverse Cardiovascular Events in Su..."" was registered as NCT02145468 on ClinicalTrials.gov."
US-C-039,US-C,genuine,genuine,NCT04388683,the study is listed on ClinicalTrials.gov (NCT04388683)
US-C-040,US-C,genuine,genuine,NCT05403125,"The trial ""Silver Diamine Fluoride: Novel Addition to the Prophylactic Bundle for Dental Management of Rad..."" was registered as NCT05403125 on ClinicalTrials.gov."
US-C-041,US-C,genuine,genuine,NCT05315310,ClinicalTrials.gov identifier NCT05315310
US-C-042,US-C,genuine,genuine,NCT03033043,"The trial ""A Prospective, Multicenter, Non-Blinded, Non-Randomized Study of the RelayPro Thoracic Stent-Gr..."" was registered as NCT03033043 on ClinicalTrials.gov."
US-C-043,US-C,genuine,genuine,NCT00949169,Registered on ClinicalTrials.gov (NCT number: NCT00949169)
US-C-044,US-C,genuine,genuine,NCT00402194,"The trial ""Treating the Endothelium to Restore Insulin Sensitivity"" was registered as NCT00402194 on ClinicalTrials.gov."
US-C-045,US-C,genuine,genuine,NCT00661817,NCT00661817 (ClinicalTrials.gov)
US-C-046,US-C,genuine,genuine,NCT00356369,"The trial ""Phase IIb Primary Vaccination Study to Evaluate Non-Inferiority & Persistence of the Immune Res..."" was registered as NCT00356369 on ClinicalTrials.gov."
US-C-047,US-C,genuine,genuine,NCT04659941,The trial was registered at ClinicalTrials.gov under the number NCT04659941.
US-C-048,US-C,genuine,genuine,NCT01270737,"The trial ""A Double-blind Randomized Controlled Trial on Whole Soy and Daidzein Supplementation on Reducti..."" was registered as NCT01270737 on ClinicalTrials.gov."
US-C-049,US-C,genuine,genuine,NCT05210179,the study is listed on ClinicalTrials.gov (NCT05210179)
US-C-050,US-C,genuine,genuine,NCT03751059,"The trial ""An Investigator-Initiated Multicenter Prospective Clinical Trial to Examine the Efficacy of Per..."" was registered as NCT03751059 on ClinicalTrials.gov."
US-C-051,US-C,non-genuine,manipulated,NCT06854355,ClinicalTrials.gov identifier NCT06854355
US-C-052,US-C,non-genuine,manipulated,NCT07437720,"The trial ""The Role of Glycocalyx and Oxidative Stress in Endothelial Function (Part 1)"" was registered at ClinicalTrials.gov under the number NCT07437720."
US-C-053,US-C,non-genuine,manipulated,NCT01102560,Registered on ClinicalTrials.gov (NCT number: NCT01102560)
US-C-054,US-C,non-genuine,manipulated,NCT01884247,the study is listed on ClinicalTrials.gov (NCT01884247)
US-C-055,US-C,non-genuine,manipulated,NCT02324219,NCT02324219 (ClinicalTrials.gov)
US-C-056,US-C,non-genuine,manipulated,NCT03741843,ClinicalTrials.gov identifier NCT03741843
US-C-057,US-C,non-genuine,manipulated,NCT07526104,"The trial ""Developing a Colonoscopy Preparation Protocol for Patients With Diabetes"" was registered at ClinicalTrials.gov under the number NCT07526104."
US-C-058,US-C,non-genuine,manipulated,NCT02076309,Registered on ClinicalTrials.gov (NCT number: NCT02076309)
US-C-059,US-C,non-genuine,manipulated,NCT01455754,the study is listed on ClinicalTrials.gov (NCT01455754)
US-C-060,US-C,non-genuine,manipulated,NCT03602847,NCT03602847 (ClinicalTrials.gov)
US-C-061,US-C,non-genuine,manipulated,NCT04574961,ClinicalTrials.gov identifier NCT04574961
US-C-062,US-C,non-genuine,manipulated,NCT06500404,"The trial ""Noninvasive Tools for the Diagnosis of Porto-sinusoidal Vascular Disease: a Single-center, Pros..."" was registered at ClinicalTrials.gov under the number NCT06500404."
US-C-063,US-C,non-genuine,manipulated,NCT04989232,Registered on ClinicalTrials.gov (NCT number: NCT04989232)
US-C-064,US-C,non-genuine,manipulated,NCT05413230,the study is listed on ClinicalTrials.gov (NCT05413230)
US-C-065,US-C,non-genuine,manipulated,NCT05811755,NCT05811755 (ClinicalTrials.gov)
US-C-066,US-C,non-genuine,manipulated,NCT06715606,ClinicalTrials.gov identifier NCT06715606
US-C-067,US-C,non-genuine,manipulated,NCT01100581,"The trial ""The Links Between Water and Salt Intake, Body Weight, Hypertension and Kidney Stones: a Difficu..."" was registered at ClinicalTrials.gov under the number NCT01100581."
US-C-068,US-C,non-genuine,manipulated,NCT00622857,Registered on ClinicalTrials.gov (NCT number: NCT00622857)
US-C-069,US-C,non-genuine,manipulated,NCT04532451,the study is listed on ClinicalTrials.gov (NCT04532451)
US-C-070,US-C,non-genuine,manipulated,NCT04650650,NCT04650650 (ClinicalTrials.gov)
US-C-071,US-C,non-genuine,manipulated,NCT07065644,ClinicalTrials.gov identifier NCT07065644
US-C-072,US-C,non-genuine,manipulated,NCT04339297,"The trial ""Medication Dispensing System to Support Medication Adherence for Individuals Living at Home Wit..."" was registered at ClinicalTrials.gov under the number NCT04339297."
US-C-073,US-C,non-genuine,manipulated,NCT01644920,Registered on ClinicalTrials.gov (NCT number: NCT01644920)
US-C-074,US-C,non-genuine,manipulated,NCT03289703,the study is listed on ClinicalTrials.gov (NCT03289703)
US-C-075,US-C,non-genuine,manipulated,NCT03476136,NCT03476136 (ClinicalTrials.gov)
US-C-076,US-C,non-genuine,manipulated,NCT02597544,ClinicalTrials.gov identifier NCT02597544
US-C-077,US-C,non-genuine,manipulated,NCT06201404,"The trial ""Mechanical Properties of Peripheral and Accessory Respiratory Muscles in Chronic Obstructive Pu..."" was registered at ClinicalTrials.gov under the number NCT06201404."
US-C-078,US-C,non-genuine,manipulated,NCT06279160,Registered on ClinicalTrials.gov (NCT number: NCT06279160)
US-C-079,US-C,non-genuine,manipulated,NCT00425374,the study is listed on ClinicalTrials.gov (NCT00425374)
US-C-080,US-C,non-genuine,manipulated,NCT04272841,NCT04272841 (ClinicalTrials.gov)
US-C-081,US-C,non-genuine,in_the_wild,NCT99999999,"In this phase 3 trial (ClinicalTrials.gov: NCT99999999), A Randomized Placebo-Controlled Trial of Metformin for Post-COVID-19 Fatigue Syndrome."
US-C-082,US-C,non-genuine,in_the_wild,NCT00000000,"The authors cite ClinicalTrials.gov identifier NCT00000000 for the study ""Phase 3 Study of Novel Anti-PD-1 Antibody in Metastatic Triple-Negative Breast Cancer""."
US-C-083,US-C,non-genuine,in_the_wild,NCT12345678,Registration: ClinicalTrials.gov (NCT12345678); study: The Global Artificial Sweetener Safety Study: A Multicenter Prospective Cohort.
US-C-084,US-C,non-genuine,in_the_wild,NCT87654321,"As per ClinicalTrials.gov (NCT87654321), the trial ""A Double-Blind RCT Evaluating Intravenous Stem Cell Therapy for Spinal Cord Injury"" enrolled 1,200 participants."
US-C-085,US-C,non-genuine,in_the_wild,NCT11111111,NCT11111111: Efficacy of Low-Dose Aspirin in Preventing Preeclampsia Among Nulliparous Women (ClinicalTrials.gov).
US-C-086,US-C,non-genuine,in_the_wild,NCT10000001,"In this phase 3 trial (ClinicalTrials.gov: NCT10000001), An Open-Label Extension Study of an mRNA Vaccine Against Herpes Simplex Virus Type 2."
US-C-087,US-C,non-genuine,in_the_wild,NCT99990000,"The authors cite ClinicalTrials.gov identifier NCT99990000 for the study ""A Cross-National Observational Study on Vitamin D Supplementation and Bone Health in the Elderly""."
US-C-088,US-C,non-genuine,in_the_wild,NCT88888888,Registration: ClinicalTrials.gov (NCT88888888); study: A Randomized Trial of Transcranial Magnetic Stimulation for Treatment-Resistant Depression.
US-C-089,US-C,non-genuine,in_the_wild,NCT00000009,"As per ClinicalTrials.gov (NCT00000009), the trial ""Phase 2 Study of CRISPR-Based Gene Editing Therapy for Sickle Cell Disease in Adults"" enrolled 1,200 participants."
US-C-090,US-C,non-genuine,in_the_wild,NCT98765432,NCT98765432: A Multicenter RCT of Telehealth Cognitive Behavioral Therapy for Chronic Insomnia (ClinicalTrials.gov).
US-C-091,US-C,non-genuine,in_the_wild,NCT55555555,"In this phase 3 trial (ClinicalTrials.gov: NCT55555555), A Prospective Cohort Examining Intermittent Fasting and Cardiovascular Outcomes."
US-C-092,US-C,non-genuine,in_the_wild,NCT77777777,"The authors cite ClinicalTrials.gov identifier NCT77777777 for the study ""A Randomized Crossover Study of Continuous Glucose Monitoring in Type 1 Diabetes Management""."
US-C-093,US-C,non-genuine,in_the_wild,NCT00000005,Registration: ClinicalTrials.gov (NCT00000005); study: An Exploratory Trial of a Novel JAK Inhibitor in Moderate-to-Severe Atopic Dermatitis.
US-C-094,US-C,non-genuine,in_the_wild,NCT90000000,"As per ClinicalTrials.gov (NCT90000000), the trial ""A Large-Scale Pragmatic Trial of Remote Patient Monitoring for Heart Failure Readmission"" enrolled 1,200 participants."
US-C-095,US-C,non-genuine,in_the_wild,NCT11223344,NCT11223344: A Phase 1 Dose-Escalation Study of a Bispecific Antibody in Relapsed Multiple Myeloma (ClinicalTrials.gov).
US-C-096,US-C,non-genuine,in_the_wild,NCT00000050,"In this phase 3 trial (ClinicalTrials.gov: NCT00000050), A Randomized Study of High-Intensity Interval Training Versus Resistance Training in Obesity."
US-C-097,US-C,non-genuine,in_the_wild,NCT66666666,"The authors cite ClinicalTrials.gov identifier NCT66666666 for the study ""An International Multicenter Study of a New Oral Anticoagulant in Atrial Fibrillation""."
US-C-098,US-C,non-genuine,in_the_wild,NCT44444444,Registration: ClinicalTrials.gov (NCT44444444); study: A Randomized Controlled Trial of Probiotic Supplementation in Irritable Bowel Syndrome.
US-C-099,US-C,non-genuine,in_the_wild,NCT00000077,"As per ClinicalTrials.gov (NCT00000077), the trial ""A Phase 3 Pivotal Trial of a Recombinant Zoster Vaccine in Immunocompromised Patients"" enrolled 1,200 participants."
US-C-100,US-C,non-genuine,in_the_wild,NCT12312312,NCT12312312: A Longitudinal Observational Study of Air Pollution Exposure and Childhood Asthma Incidence (ClinicalTrials.gov).
CN-L-001,CN-L,genuine,genuine,中华人民共和国刑法-264,《中华人民共和国刑法》（2005年版本）第二百六十四条：盗窃公私财物，数额较大的，或者多次盗窃、入户盗窃、携带凶器盗窃、扒窃的，处三年以下有……
CN-L-002,CN-L,genuine,genuine,中华人民共和国刑法-232,《中华人民共和国刑法》第232条
CN-L-003,CN-L,genuine,genuine,中华人民共和国刑法-263,《中华人民共和国刑法》第二百六十三条
CN-L-004,CN-L,genuine,genuine,中华人民共和国刑法-133,《中华人民共和国刑法》第133条
CN-L-005,CN-L,genuine,genuine,中华人民共和国民法典-1165,《中华人民共和国民法典》第一千一百六十五条：行为人因过错侵害他人民事权益造成损害的，应当承担侵权责任。依照法律规定推定行为人有过……
CN-L-006,CN-L,genuine,genuine,中华人民共和国民法典-1179,《中华人民共和国民法典》第1179条
CN-L-007,CN-L,genuine,genuine,中华人民共和国民法典-25,《中华人民共和国民法典》第二十五条
